City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ushuaia,AR,35.26,scattered clouds,-54.8,-68.3,Albatross Hotel
1,Kaitangata,NZ,45.19,moderate rain,-46.2817,169.8464,Kaitangata Motor Camp
2,Mehamn,NO,55.31,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
3,Mataura,NZ,46.47,light rain,-46.1927,168.8643,Ellie's Villa
4,Butaritari,KI,82.62,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
5,Bambous Virieux,MU,67.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
6,Kalat,PK,66.9,overcast clouds,29.0225,66.5916,PHE Rest House
7,Flinders,AU,65.37,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
8,Cape Town,ZA,58.37,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
9,Yellowknife,CA,72.12,scattered clouds,62.456,-114.3525,The Explorer Hotel
10,Tuktoyaktuk,CA,60.8,broken clouds,69.4541,-133.0374,End of The Road Ltd.
11,Faya,SA,63.12,light rain,18.3851,42.4509,املاك خالد الشعشوع
12,Yuncheng,CN,80.08,scattered clouds,35.0231,110.9928,晋州快捷酒店
13,Virginia Beach,US,88.02,broken clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
14,Kiunga,PG,78.69,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
15,Punta Arenas,CL,32.11,few clouds,-53.15,-70.9167,Hotel Hain
17,Kapaa,US,84.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Tutoia,BR,79.21,overcast clouds,-2.7619,-42.2744,Pousada Guará's
19,North Bend,US,82.24,broken clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
20,Muisne,EC,73.24,overcast clouds,0.6,-80.0333,Quinta Samay
21,Rawson,AR,45.18,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
22,Mizdah,LY,72.77,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
23,Bredasdorp,ZA,46.78,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
24,Anaconda,US,81.59,overcast clouds,46.1285,-112.9423,Trade Wind Motel
25,Rikitea,PF,75.61,broken clouds,-23.1203,-134.9692,People ThankYou
26,Wembley,AU,57.09,light rain,-31.9333,115.8,Cambridge Atrium
27,Cabo San Lucas,MX,94.3,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
29,Avarua,CK,71.65,scattered clouds,-21.2078,-159.775,Paradise Inn
30,Pevek,RU,38.41,overcast clouds,69.7008,170.3133,Severnoye Zoloto
31,New Norfolk,AU,56.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
32,Puerto Ayora,EC,69.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
33,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
34,Pinas,EC,66.27,light rain,-3.6667,-79.65,Hostería Florecer
35,Qaanaaq,GL,42.55,clear sky,77.484,-69.3632,Qaanaaq Hotel
36,Marsaxlokk,MT,83.08,clear sky,35.8419,14.5431,Water's Edge
37,Sitka,US,57.09,mist,57.0531,-135.33,Westmark Sitka
38,Banamba,ML,77.18,broken clouds,13.55,-7.45,Kassela de Banamba
40,Leningradskiy,RU,34.66,overcast clouds,69.3833,178.4167,Gostinitsa
41,Barrow,US,37.42,mist,71.2906,-156.7887,King Eider Inn
42,Strezhevoy,RU,60.55,overcast clouds,60.7333,77.5889,Sibiryachka
43,Ponta Do Sol,PT,88.43,overcast clouds,32.6667,-17.1,Hotel do Campo
44,Berlevag,NO,55.35,overcast clouds,70.8578,29.0864,Kvitbrakka
45,Mar Del Plata,AR,55.09,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
47,Port Alfred,ZA,53.19,clear sky,-33.5906,26.891,The Halyards Hotel
48,Lagoa,PT,73.33,clear sky,39.05,-27.9833,Casa Das Faias
50,Yakeshi,CN,74.28,heavy intensity rain,49.2833,120.7333,Longhua Hotel
51,Benjamin Constant,BR,75.33,broken clouds,-4.3831,-70.0311,CASA AVALIADA
54,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
55,Kodiak,US,62.11,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
56,Hasaki,JP,79.2,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
57,Atuona,PF,77.77,clear sky,-9.8,-139.0333,Villa Enata
58,Muros,ES,64.83,clear sky,42.7762,-9.0603,Apartment Av. Castelao
59,Aljezur,PT,66.4,clear sky,37.3191,-8.8033,Amazigh Hostel
60,Cap-Aux-Meules,CA,73.45,light rain,47.3821,-61.8597,Auberge Madeli
61,Agucadoura,PT,70.25,clear sky,41.4318,-8.7804,Varzinn Hotel
62,Shirgaon,IN,80.33,overcast clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
63,Mahebourg,MU,67.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
64,Arraial Do Cabo,BR,70.65,clear sky,-22.9661,-42.0278,Pousada Porto Praia
65,Saint George,US,72.19,moderate rain,37.1041,-113.5841,Best Western Plus Abbey Inn
66,Labuhan,ID,76.57,broken clouds,-6.8844,112.2051,DoubleFAG
68,Saint-Philippe,RE,64.22,light rain,-21.3585,55.7679,Le four à pain
69,Namatanai,PG,82.51,light rain,-3.6667,152.4333,Seagulls Inn Namatani
70,Riyadh,SA,93.34,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
71,Mehriz,IR,84.7,scattered clouds,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
73,Soe,ID,72.63,broken clouds,-9.8607,124.28399999999999,Dena Hotel
74,Fortuna,US,72.93,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
75,Lengshuitan,CN,89.11,clear sky,26.4111,111.5956,Jialong Hotel
76,Nikolskoye,RU,60.87,broken clouds,59.7035,30.7861,Tourist House - Sablino
77,Aklavik,CA,75.15,overcast clouds,68.2191,-135.0107,Aklavik Inn
78,Viransehir,TR,82.33,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
80,Hermanus,ZA,48.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
81,Broome,US,73.78,clear sky,42.2506,-75.833,Chenango Valley State Park
82,Khuzhir,RU,52.65,light rain,53.1939,107.3397,Отель на озере Байкал Baikal View
83,Srandakan,ID,75.2,overcast clouds,-7.9386,110.2506,Puri Brata
85,Pak Phanang,TH,80.62,broken clouds,8.3511,100.20200000000001,Green Park Inn Hotel
86,Goiatuba,BR,67.1,clear sky,-18.0125,-49.3547,Hotel Barrocos
87,Moose Factory,CA,60.8,overcast clouds,51.2585,-80.6094,Cree Village Eco Lodge
88,Portel,BR,75.47,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
89,Wewak,PG,83.34,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
90,Norman Wells,CA,78.84,scattered clouds,65.282,-126.8329,Heritage Hotel
91,Cootamundra,AU,46.71,overcast clouds,-34.65,148.0333,Cootamundra Gardens Motel & indian restaurant
92,Aksu,CN,83.05,clear sky,41.1231,80.2644,Pudong Holiday Hotel
93,Hobart,AU,57.25,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
94,Erzin,TR,73.92,clear sky,36.9559,36.2,Artemis Otel
95,Fort Nelson,CA,78.39,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
96,Coahuayana,MX,81.7,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
97,Zambezi,ZM,52.29,clear sky,-13.5432,23.1047,Royal Kutachika Lodge
98,Along,IN,74.95,overcast clouds,28.1667,94.7667,Hotel West
99,Seaforth,JM,83.25,broken clouds,17.9358,-76.4573,"Stewart Field, Seaforth P.O., St. Thomas"
100,East London,ZA,55.26,clear sky,-33.0153,27.9116,Tu Casa
102,Port Elizabeth,ZA,55.69,clear sky,-33.918,25.5701,39 On Nile Guest House
103,Santona,ES,67.59,broken clouds,43.4439,-3.4576,Playamar
104,Bengkulu,ID,74.8,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
105,Port-Gentil,GA,74.16,overcast clouds,-0.7193,8.7815,Fengshui Residence
106,Hithadhoo,MV,82.65,scattered clouds,-0.6,73.0833,Scoop Guest House
107,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
108,Qaqortoq,GL,43.16,light rain,60.7167,-46.0333,Siniffik Inn
109,Bethel,US,81.45,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
110,Busselton,AU,61.72,moderate rain,-33.65,115.3333,Observatory Guest House
111,Nuuk,GL,41.88,overcast clouds,64.1835,-51.7216,Vandrehuset
112,Ewa Beach,US,87.75,broken clouds,21.3156,-158.0072,Base Lodging
113,Visnes,NO,53.22,light intensity drizzle,59.3556,5.2242,Park Inn Haugesund Airport
114,Mill Valley,US,77.25,scattered clouds,37.906,-122.545,Best Western Corte Madera Inn
115,Jamestown,US,69.39,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
117,Hobyo,SO,74.55,few clouds,5.3505,48.5268,Iftin hotel hobyo
118,Seoul,KR,83.77,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
119,Thompson,CA,60.96,broken clouds,55.7435,-97.8558,Burntwood Hotel
120,Sarishabari,BD,80.56,overcast clouds,24.7333,89.8333,Bangali Telecom
121,High Level,CA,75.31,scattered clouds,58.5169,-117.13600000000001,Days Inn by Wyndham High Level
122,Martapura,ID,80.69,few clouds,-3.4167,114.85,Montana Hotel Syariah
123,Nome,US,54.16,light rain,64.5011,-165.4064,Dredge 7 Inn
124,Lompoc,US,82.54,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
125,Olafsvik,IS,51.75,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
126,Padang,ID,73.45,heavy intensity rain,-0.9492,100.3543,Mercure Padang
128,Marrakesh,MA,91.47,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
129,Grindavik,IS,49.95,light intensity drizzle,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
130,Calvinia,ZA,49.01,clear sky,-31.4707,19.776,Die Lemoenhuis
131,Vila Franca Do Campo,PT,72.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
132,Ranong,TH,76.93,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
133,Clyde River,CA,41.23,overcast clouds,70.4692,-68.5914,Qamaq Hotel
134,Waingapu,ID,78.93,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
135,Hilo,US,89.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
136,Tasiilaq,GL,39.38,overcast clouds,65.6145,-37.6368,The Red House
137,Pacific Grove,US,70.02,few clouds,36.6177,-121.9166,Lovers Point Inn
138,Kars,TR,50.52,clear sky,40.602,43.095,Kars Otel
139,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
140,Khatanga,RU,73.74,clear sky,71.9667,102.5,"""Khatanga"""
141,Guerrero Negro,MX,73.15,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
142,Bandarbeyla,SO,77.27,overcast clouds,9.4942,50.8122,JABIR HOTEL
143,Iqaluit,CA,46.13,few clouds,63.7506,-68.5145,Frobisher Inn
144,Llanes,ES,66.7,overcast clouds,43.4198,-4.7549,Hotel La Paz
145,Faanui,PF,77.77,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
146,Hualmay,PE,62.1,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
147,Mashhad,IR,77.14,clear sky,36.297,59.6062,Khanye Sabz Hotel
148,Mount Isa,AU,65.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
149,Djambala,CG,65.89,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
150,Porbandar,IN,81.88,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
151,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
152,Mecca,SA,86.92,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
153,Barra De Sao Francisco,BR,63.91,clear sky,-18.755,-40.8908,Td Hotel
154,The Valley,AI,83.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
155,Saldanha,ZA,51.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
156,Chipinge,ZW,50.2,scattered clouds,-20.1883,32.6236,Chipinge Breeze Lodge
157,Lebu,CL,53.55,clear sky,-37.6167,-73.65,Hostal Las Lilas
158,Katsuura,JP,80.62,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
159,Mount Gambier,AU,53.29,clear sky,-37.8333,140.7667,The Commodore
160,Cidreira,BR,60.89,clear sky,-30.1811,-50.2056,Hotel Castelo
161,Samdari,IN,78.64,moderate rain,25.8167,72.5833,Karnoba Ki Dhani
162,Banda Aceh,ID,79.16,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
163,Kandrian,PG,83.5,moderate rain,-6.2167,149.55,Kandrian Station
164,Acari,PE,64.96,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
165,Nushki,PK,81.54,overcast clouds,29.5542,66.0215,Shams hotel
166,Romny,UA,56.73,few clouds,50.751000000000005,33.4747,Floriana
167,Half Moon Bay,US,80.06,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
168,Jalu,LY,81.88,clear sky,29.0331,21.5482,صاحبة الفخامة
169,Meadow Lake,US,83.48,light rain,34.8014,-106.5436,TumbleWeed RV Park
171,Farias Brito,BR,74.08,overcast clouds,-6.9306,-39.5656,Pousada Boa Vista
172,Mandalgovi,MN,62.8,clear sky,45.7625,106.2708,В.Ганбат
173,Shingu,JP,86.07,overcast clouds,33.7333,135.9833,Shingu UI Hotel
174,San Patricio,US,90.32,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
175,Wittmund,DE,66.04,clear sky,53.5667,7.7833,Hof von Hannover
177,Pithoro,PK,81.64,overcast clouds,25.5167,69.3833,Village Haji Muhammad Yousif Panhwar
178,Nevyansk,RU,62.78,few clouds,57.4953,60.2112,Kapriz
179,Floro,NO,56.23,mist,61.5996,5.0328,Kinn Hotell Florø
180,Kintampo,GH,71.58,broken clouds,8.0563,-1.7306,Adomaa Memorial Hotel
181,Sandwick,GB,49.82,overcast clouds,60.0,-1.25,Beach House Self-Catering Accomodation
182,Cachoeirinha,BR,66.6,mist,-29.9511,-51.0939,Motel Sahara
183,Saint Anthony,US,74.82,clear sky,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
184,Ajaccio,FR,71.65,clear sky,42.0,8.9167,Sole E Monte
185,Bluff,NZ,46.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
186,Alyangula,AU,77.74,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
187,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
188,Akyab,MM,80.6,clear sky,20.15,92.9,Hotel Memory
189,Tulum,MX,79.43,overcast clouds,20.2167,-87.4667,Kin Ha Tulum
190,Fairbanks,US,77.49,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
191,Padalarang,ID,72.21,overcast clouds,-6.8378,107.4728,Mason Pine Hotel
192,Qom,IR,77.9,clear sky,34.6401,50.8764,Qom Hotel
193,Sambava,MG,68.29,light rain,-14.2667,50.1667,Melrose
194,Nanortalik,GL,42.6,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
195,Xiongzhou,CN,91.02,broken clouds,25.1167,114.3,Xinhewan Business Hotel
196,Pemangkat,ID,78.51,overcast clouds,1.1667,108.9667,Ramah Kost KITA
197,Cochabamba,BO,65.95,few clouds,-17.3895,-66.1568,Hotel Aranjuez Cochabamba
198,Mirnyy,RU,75.24,clear sky,62.5353,113.9611,квартира
199,Talnakh,RU,58.21,scattered clouds,69.4865,88.3972,Talnakh Hotel
201,Igrim,RU,51.85,clear sky,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
202,Tiksi,RU,50.63,broken clouds,71.6872,128.8694,Arktika
203,Goderich,CA,68.32,clear sky,43.7501,-81.7165,Harmony Inn
206,Lasa,IT,61.36,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
207,New Glasgow,CA,74.79,overcast clouds,45.5834,-62.6486,"Holiday Inn Express Stellarton-New Glasgow, an IHG Hotel"
210,Anadyr,RU,48.7,scattered clouds,64.75,177.4833,Отке17.ру — жильё для командированных
212,Esperance,AU,54.55,clear sky,-33.8667,121.9,Hospitality Esperance
213,Sakakah,SA,85.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
214,Khandyga,RU,73.78,few clouds,62.6667,135.6,Apel'sin
215,Sussex,US,82.35,broken clouds,41.1834,-74.6663,Top O Hill Farm - McDougals
216,Beni Suef,EG,81.07,clear sky,29.0731,31.0979,Jewel Inn Beni Suef
217,Atar,MR,91.72,overcast clouds,20.5169,-13.0499,Oumou Elghoura
218,Hatillo,PR,83.1,broken clouds,18.4863,-66.8254,El Buen Hotel
219,Nipawin,CA,68.04,thunderstorm,53.3668,-104.0009,Tobin Lake Motel
220,Njombe,TZ,48.09,few clouds,-9.3333,34.7667,Hillside Hotel
222,Manado,ID,84.97,few clouds,1.4869999999999999,124.8455,Aryaduta Hotel
223,Buluang,PH,86.25,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
224,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
225,Lyuban,BY,56.23,clear sky,52.7985,28.0048,"Gostinitsa ""Oressa"""
227,Nanakuli,US,87.75,broken clouds,21.3906,-158.1547,Camp Pālehua
228,Vila Velha,BR,69.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
229,Lorengau,PG,82.47,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
230,Ribeira Grande,PT,74.52,clear sky,38.5167,-28.7,Quinta da Meia Eira
